,SNo,ObservationDate,Province/State,Country,Last Update,Confirmed,Deaths,Recovered
264,265,01/27/2020,,Ivory Coast,1/27/20 23:59,1.0,0.0,0.0
1477,1478,02/14/2020,,Egypt,2020-02-14T23:53:02,1.0,0.0,0.0
1552,1553,02/15/2020,,Egypt,2020-02-14T23:53:02,1.0,0.0,0.0
1627,1628,02/16/2020,,Egypt,2020-02-14T23:53:02,1.0,0.0,0.0
1702,1703,02/17/2020,,Egypt,2020-02-14T23:53:02,1.0,0.0,0.0
1777,1778,02/18/2020,,Egypt,2020-02-14T23:53:02,1.0,0.0,0.0
1853,1854,02/19/2020,,Egypt,2020-02-14T23:53:02,1.0,0.0,0.0
1929,1930,02/20/2020,,Egypt,2020-02-14T23:53:02,1.0,0.0,0.0
2009,2010,02/21/2020,,Egypt,2020-02-21T18:53:02,1.0,0.0,0.0
2093,2094,02/22/2020,,Egypt,2020-02-21T18:53:02,1.0,0.0,0.0
2177,2178,02/23/2020,,Egypt,2020-02-21T18:53:02,1.0,0.0,0.0
2263,2264,02/24/2020,,Egypt,2020-02-21T18:53:02,1.0,0.0,0.0
2352,2353,02/25/2020,,Algeria,2020-02-25T23:43:03,1.0,0.0,0.0
2357,2358,02/25/2020,,Egypt,2020-02-21T18:53:02,1.0,0.0,0.0
2453,2454,02/26/2020,,Algeria,2020-02-25T23:43:03,1.0,0.0,0.0
2458,2459,02/26/2020,,Egypt,2020-02-21T18:53:02,1.0,0.0,0.0
2557,2558,02/27/2020,,Algeria,2020-02-25T23:43:03,1.0,0.0,0.0
2563,2564,02/27/2020,,Egypt,2020-02-21T18:53:02,1.0,0.0,0.0
2665,2666,02/28/2020,,Algeria,2020-02-25T23:43:03,1.0,0.0,0.0
2673,2674,02/28/2020,,Egypt,2020-02-28T04:13:09,1.0,0.0,1.0
2683,2684,02/28/2020,,Nigeria,2020-02-28T16:23:03,1.0,0.0,0.0
2783,2784,02/29/2020,,Algeria,2020-02-25T23:43:03,1.0,0.0,0.0
2789,2790,02/29/2020,,Egypt,2020-02-28T04:13:09,1.0,0.0,1.0
2800,2801,02/29/2020,,Nigeria,2020-02-28T16:23:03,1.0,0.0,0.0
2904,2905,03/01/2020,,Egypt,2020-03-01T23:33:03,2.0,0.0,1.0
